pergunta,codigo - pergunta,codigo
Timestamp,META_1 - Timestamp,
1 - Qual é a sua situação profissional atual?,Q_2 - 1 - Qual é a sua situação profissional atual?,Q_2
D1 - À procura do primeiro emprego?,D1 - D1 - À procura do primeiro emprego?,D1
D2 - Quantos empregos já teve ao longo da sua vida profissional? ,D2 - D2 - Quantos empregos já teve ao longo da sua vida profissional? ,D2
T1 - A sua empresa/organização já adotou alguma solução de Inteligência Artificial nas suas operações/produtos?  ,T1 - T1 - A sua empresa/organização já adotou alguma solução de Inteligência Artificial nas suas operações/produtos?  ,T1
T2 - Em que áreas/funções a sua empresa utiliza atualmente IA? (Seleção múltipla),T2 - T2 - Em que áreas/funções a sua empresa utiliza atualmente IA? (Seleção múltipla),T2
"T3 - Na sua opinião, quais são os principais obstáculos que impedem a adoção de IA na sua empresa ou setor? (Seleção múltipla)","T3 - T3 - Na sua opinião, quais são os principais obstáculos que impedem a adoção de IA na sua empresa ou setor? (Seleção múltipla)",T3
T4 - Em que setor atua a sua organização?,T4 - T4 - Em que setor atua a sua organização?,T4
T5 - Em que região está sediada a empresa ou organização onde exerce atualmente a sua atividade profissional? ,T5 - T5 - Em que região está sediada a empresa ou organização onde exerce atualmente a sua atividade profissional? ,T5
"T6 - No seu trabalho diário, utiliza alguma ferramenta ou sistema que incorpora IA? (ex.: assistentes virtuais, software de análise preditiva, etc)","T6 - T6 - No seu trabalho diário, utiliza alguma ferramenta ou sistema que incorpora IA? (ex.: assistentes virtuais, software de análise preditiva, etc)",T6
"T7 - Se respondeu Sim à pergunta anterior, que tipo de ferramenta utiliza no seu trabalho? (Seleção múltipla)","T7 - T7 - Se respondeu Sim à pergunta anterior, que tipo de ferramenta utiliza no seu trabalho? (Seleção múltipla)",T7
E1 - Qual é a sua área de formação?,E1 - E1 - Qual é a sua área de formação?,E1
E2 - Em que região está sediada a instituição de ensino superior onde estuda atualmente? ,E2 - E2 - Em que região está sediada a instituição de ensino superior onde estuda atualmente? ,E2
"E3 - O seu plano de estudos (curso) inclui atualmente alguma disciplina ou componente focada em IA, aprendizagem automática ou tópicos relacionados?","E3 - E3 - O seu plano de estudos (curso) inclui atualmente alguma disciplina ou componente focada em IA, aprendizagem automática ou tópicos relacionados?",E3
E4 - Gostaria que o seu curso oferecesse mais conteúdos ou formação em IA?,E4 - E4 - Gostaria que o seu curso oferecesse mais conteúdos ou formação em IA?,E4
"E5 - Já utilizou ferramentas de IA para apoiar os seus estudos ou trabalhos académicos? (Por exemplo, uso de um chatbot como o ChatGPT para tirar dúvidas ou gerar ideias, tradutores automáticos, etc.)","E5 - E5 - Já utilizou ferramentas de IA para apoiar os seus estudos ou trabalhos académicos? (Por exemplo, uso de um chatbot como o ChatGPT para tirar dúvidas ou gerar ideias, tradutores automáticos, etc.)",E5
DI1 - Qual é a sua área de ensino?,DI1 - DI1 - Qual é a sua área de ensino?,DI1
DI2 - Onde se localiza a instituição de ensino superior ou investigação onde trabalha atualmente? ,DI2 - DI2 - Onde se localiza a instituição de ensino superior ou investigação onde trabalha atualmente? ,DI2
DI3 - Gostaria de obter mais formação ou apoio para integrar IA no ensino ou investigação?,DI3 - DI3 - Gostaria de obter mais formação ou apoio para integrar IA no ensino ou investigação?,DI3
DI6 - De que forma a IA faz parte da sua atividade profissional? (Seleção múltipla),DI6 - DI6 - De que forma a IA faz parte da sua atividade profissional? (Seleção múltipla),DI6
"MT2 - Na sua opinião, qual a probabilidade dos seguintes cenários acontecerem no seu setor, nos próximos 5 anos?  [A IA  irá criar mais novos postos de trabalho, do que eliminar no seu setor (Labor Reinstatment)]","MT2 - MT2 - Na sua opinião, qual a probabilidade dos seguintes cenários acontecerem no seu setor, nos próximos 5 anos?  [A IA  irá criar mais novos postos de trabalho, do que eliminar no seu setor (Labor Reinstatment)]",MT2
"MT3 - Na sua opinião, qual a probabilidade dos seguintes cenários acontecerem no seu setor, nos próximos 5 anos?  [A IA irá eliminar mais postos de trabalho do que criar no seu setor (Labor displacement)]","MT3 - MT3 - Na sua opinião, qual a probabilidade dos seguintes cenários acontecerem no seu setor, nos próximos 5 anos?  [A IA irá eliminar mais postos de trabalho do que criar no seu setor (Labor displacement)]",MT3
"MT4 - Na sua opinião, qual a probabilidade dos seguintes cenários acontecerem no seu setor, nos próximos 5 anos?  [A IA irá transformar os postos de trabalho, complementando o trabalho humano, porém o número total manter-se-á semelhante (Augmentation)]","MT4 - MT4 - Na sua opinião, qual a probabilidade dos seguintes cenários acontecerem no seu setor, nos próximos 5 anos?  [A IA irá transformar os postos de trabalho, complementando o trabalho humano, porém o número total manter-se-á semelhante (Augmentation)]",MT4
"MT5 - Na sua opinião, qual a probabilidade dos seguintes cenários acontecerem no seu setor, nos próximos 5 anos?  [A IA não terá um impacto significativo no número de postos de trabalho]","MT5 - MT5 - Na sua opinião, qual a probabilidade dos seguintes cenários acontecerem no seu setor, nos próximos 5 anos?  [A IA não terá um impacto significativo no número de postos de trabalho]",MT5
"MT6 - Na sua opinião, qual a probabilidade dos seguintes cenários acontecerem no seu setor, nos próximos 5 anos?  [A IA irá causar um aumento de produtividade ao nível do desempenho do colaborador ]","MT6 - MT6 - Na sua opinião, qual a probabilidade dos seguintes cenários acontecerem no seu setor, nos próximos 5 anos?  [A IA irá causar um aumento de produtividade ao nível do desempenho do colaborador ]",MT6
MT7 - Qual destas medidas está a tomar (ou pretende tomar) para se adaptar profissionalmente à crescente adoção de IA? (Seleção múltipla),MT7 - MT7 - Qual destas medidas está a tomar (ou pretende tomar) para se adaptar profissionalmente à crescente adoção de IA? (Seleção múltipla),MT7
"MT8 - Na sua opinião, que tipos de competências serão mais importantes para os profissionais, à medida que a IA se difunde no mercado de trabalho? (Selecione até 3 opções)","MT8 - MT8 - Na sua opinião, que tipos de competências serão mais importantes para os profissionais, à medida que a IA se difunde no mercado de trabalho? (Selecione até 3 opções)",MT8
"MT9 - A sua atividade profissional envolve (envolvia) escrever ou trabalhar diretamente com código (programação, scripts, automações, etc.)?  ","MT9 - MT9 - A sua atividade profissional envolve (envolvia) escrever ou trabalhar diretamente com código (programação, scripts, automações, etc.)?  ",MT9
"C1 - Utiliza atualmente ferramentas de IA no seu processo de desenvolvimento (programação, automação, análise, etc.)?","C1 - C1 - Utiliza atualmente ferramentas de IA no seu processo de desenvolvimento (programação, automação, análise, etc.)?",C1
C2 - Qual é a sua opinião sobre o uso de ferramentas de IA como parte do fluxo de trabalho (workflow)?,C2 - C2 - Qual é a sua opinião sobre o uso de ferramentas de IA como parte do fluxo de trabalho (workflow)?,C2
C3 - Até que ponto confia na precisão dos resultados gerados por ferramentas IA no seu fluxo de trabalho?,C3 - C3 - Até que ponto confia na precisão dos resultados gerados por ferramentas IA no seu fluxo de trabalho?,C3
"C4 - Numa escala de relevância de 1 a 5, como classificaria cada um dos seguintes benefícios do uso de ferramentas de IA no seu fluxo de trabalho?  [Aumentar a produtividade]","C4 - C4 - Numa escala de relevância de 1 a 5, como classificaria cada um dos seguintes benefícios do uso de ferramentas de IA no seu fluxo de trabalho?  [Aumentar a produtividade]",C4
"C5 - Numa escala de relevância de 1 a 5, como classificaria cada um dos seguintes benefícios do uso de ferramentas de IA no seu fluxo de trabalho?  [Melhorar a eficiência ]","C5 - C5 - Numa escala de relevância de 1 a 5, como classificaria cada um dos seguintes benefícios do uso de ferramentas de IA no seu fluxo de trabalho?  [Melhorar a eficiência ]",C5
"C6 - Numa escala de relevância de 1 a 5, como classificaria cada um dos seguintes benefícios do uso de ferramentas de IA no seu fluxo de trabalho?  [Melhorar a colaboração]","C6 - C6 - Numa escala de relevância de 1 a 5, como classificaria cada um dos seguintes benefícios do uso de ferramentas de IA no seu fluxo de trabalho?  [Melhorar a colaboração]",C6
"C7 - Numa escala de relevância de 1 a 5, como classificaria cada um dos seguintes benefícios do uso de ferramentas de IA no seu fluxo de trabalho?  [Acelerar a aprendizagem]","C7 - C7 - Numa escala de relevância de 1 a 5, como classificaria cada um dos seguintes benefícios do uso de ferramentas de IA no seu fluxo de trabalho?  [Acelerar a aprendizagem]",C7
"C8 - Numa escala de relevância de 1 a 5, como classificaria cada um dos seguintes benefícios do uso de ferramentas de IA no seu fluxo de trabalho?  [Melhorar a precisão na escrita de código]","C8 - C8 - Numa escala de relevância de 1 a 5, como classificaria cada um dos seguintes benefícios do uso de ferramentas de IA no seu fluxo de trabalho?  [Melhorar a precisão na escrita de código]",C8
"C9 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Estudo de uma base de código existente]","C9 - C9 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Estudo de uma base de código existente]",C9
"C10 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Planeamento do projeto]","C10 - C10 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Planeamento do projeto]",C10
"C11 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Escrita de código]","C11 - C11 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Escrita de código]",C11
"C12 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Documentação de código]","C12 - C12 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Documentação de código]",C12
"C13 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Debugging]","C13 - C13 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Debugging]",C13
"C14 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Testar código]","C14 - C14 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Testar código]",C14
"C15 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Committing e revisão de código]","C15 - C15 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Committing e revisão de código]",C15
"C16 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Deploying e monitorização]","C16 - C16 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Deploying e monitorização]",C16
"C17 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Colaboração com colegas de equipa]","C17 - C17 - Em que partes do seu fluxo de trabalho de desenvolvimento (development workflow) está atualmente a utilizar ferramentas de IA, em quais tem interesse em utilizar no próximo ano, e em quais não tem interesse? [Colaboração com colegas de equipa]",C17
"C18 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Estudo de uma base de código existente]","C18 - C18 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Estudo de uma base de código existente]",C18
"C19 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Planeamento de projeto ]","C19 - C19 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Planeamento de projeto ]",C19
"C20 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Escrita de código]","C20 - C20 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Escrita de código]",C20
"C21 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Documentação de código]","C21 - C21 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Documentação de código]",C21
"C22 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Debugging]","C22 - C22 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Debugging]",C22
"C23 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Testes de código]","C23 - C23 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Testes de código]",C23
"C24 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Validação e revisão de código]","C24 - C24 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Validação e revisão de código]",C24
"C25 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Desploying e monitorização]","C25 - C25 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Desploying e monitorização]",C25
"C26 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Colaboração com colegas de equipa]","C26 - C26 - Pense na forma como o seu fluxo de trabalho poderá evoluir com o tempo e indique quão diferente espera que ele seja daqui a um ano, tendo em conta uma utilização frequente de ferramentas de IA? [Colaboração com colegas de equipa]",C26
"AS2 - Já ouviu falar da IA generativa (Generative AI), ou seja, IA capaz de gerar conteúdos como texto, imagens, entre outros (ex.: ChatGPT, DALL-E)?","AS2 - AS2 - Já ouviu falar da IA generativa (Generative AI), ou seja, IA capaz de gerar conteúdos como texto, imagens, entre outros (ex.: ChatGPT, DALL-E)?",AS2
AS3 - Quais das seguintes tecnologias/aplicações do dia-a-dia que envolvem IA utiliza regularmente? (Seleção múltipla),AS3 - AS3 - Quais das seguintes tecnologias/aplicações do dia-a-dia que envolvem IA utiliza regularmente? (Seleção múltipla),AS3
Com que frequência interage com ferramentas ou serviços que têm IA?,META_57 - Com que frequência interage com ferramentas ou serviços que têm IA?,META_57
AS4 - Indique o seu grau de concordância com as seguintes afirmações sobre IA no seu dia-a-dia: [A IA tem tornado a minha vida mais fácil no dia-a-dia.],AS4 - AS4 - Indique o seu grau de concordância com as seguintes afirmações sobre IA no seu dia-a-dia: [A IA tem tornado a minha vida mais fácil no dia-a-dia.],AS4
AS5 - Indique o seu grau de concordância com as seguintes afirmações sobre IA no seu dia-a-dia: [Preocupa-me o modo como as aplicações de IA usam os meus dados pessoais e a minha privacidade.],AS5 - AS5 - Indique o seu grau de concordância com as seguintes afirmações sobre IA no seu dia-a-dia: [Preocupa-me o modo como as aplicações de IA usam os meus dados pessoais e a minha privacidade.],AS5
AS6 - Indique o seu grau de concordância com as seguintes afirmações sobre IA no seu dia-a-dia: [Prefiro interagir com um ser humano do que com sistemas de IA quando se trata de questões importantes.],AS6 - AS6 - Indique o seu grau de concordância com as seguintes afirmações sobre IA no seu dia-a-dia: [Prefiro interagir com um ser humano do que com sistemas de IA quando se trata de questões importantes.],AS6
AS6 - Indique o seu grau de concordância com as seguintes afirmações sobre IA no seu dia-a-dia: [Consigo perceber como funcionam e como tomam decisões a maioria das tecnologias de IA que utilizo.],AS6 - AS6 - Indique o seu grau de concordância com as seguintes afirmações sobre IA no seu dia-a-dia: [Consigo perceber como funcionam e como tomam decisões a maioria das tecnologias de IA que utilizo.],AS6
AS7 - Utiliza alguma ferramenta de IA com acesso pago?,AS7 - AS7 - Utiliza alguma ferramenta de IA com acesso pago?,AS7
PR2 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Substituição de empregos humanos pela automação],PR2 - PR2 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Substituição de empregos humanos pela automação],PR2
PR3 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Tratamento injusto de pessoas devido a preconceitos nos algoritmos ],PR3 - PR3 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Tratamento injusto de pessoas devido a preconceitos nos algoritmos ],PR3
PR4 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Perda de privacidade e uso indevido de dados pessoais],PR4 - PR4 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Perda de privacidade e uso indevido de dados pessoais],PR4
"PR5 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Uso malicioso da IA (ex.: criação de desinformação (fake news), ciberataques automatizados)]","PR5 - PR5 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Uso malicioso da IA (ex.: criação de desinformação (fake news), ciberataques automatizados)]",PR5
PR6 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Dependência excessiva de sistemas de IA - redução da capacidade humana de tomar decisões ou pensar criticamente],PR6 - PR6 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [Dependência excessiva de sistemas de IA - redução da capacidade humana de tomar decisões ou pensar criticamente],PR6
PR7 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [IA fora de controlo - desenvolvimento de uma inteligência artificial que os humanos não conseguem interromper ou controlar (cenário extremo)],PR7 - PR7 - Como avalia os seguintes potenciais riscos ou problemas relacionados com o adoção da IA?  [IA fora de controlo - desenvolvimento de uma inteligência artificial que os humanos não conseguem interromper ou controlar (cenário extremo)],PR7
"PR8 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Leis e regulamentações governamentais rigorosas específicas para IA]","PR8 - PR8 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Leis e regulamentações governamentais rigorosas específicas para IA]",PR8
"PR9 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Trasparência obrigatótria sobre o funcionamento de algoritmos de IA (explicabilidade das decisões tomadas pela IA)]","PR9 - PR9 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Trasparência obrigatótria sobre o funcionamento de algoritmos de IA (explicabilidade das decisões tomadas pela IA)]",PR9
"PR10 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Supervisão humana nas decisões críticas tomadas por IA (Intervenção humana quando necessário)]","PR10 - PR10 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Supervisão humana nas decisões críticas tomadas por IA (Intervenção humana quando necessário)]",PR10
"PR11 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Educação e literacia em IA para todos (formar cidadãos e trabalhadores com competências para compreender, utilizar e avaliar a IA de forma crítica e responsável)]","PR11 - PR11 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Educação e literacia em IA para todos (formar cidadãos e trabalhadores com competências para compreender, utilizar e avaliar a IA de forma crítica e responsável)]",PR11
"PR12 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Auditorias ou certificações independentes para sistemas de IA (verificação por entidades externas)]","PR12 - PR12 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Auditorias ou certificações independentes para sistemas de IA (verificação por entidades externas)]",PR12
"PR13 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Guias éticos e autorregulação pelas empresas desenvolvedoras de IA (princípios voluntários de IA responsável)]","PR13 - PR13 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Guias éticos e autorregulação pelas empresas desenvolvedoras de IA (princípios voluntários de IA responsável)]",PR13
"PR14 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Investimento em IA segura e inclusiva (desenvolver tecnologias de IA com foco em segurança e benefícios sociais)]","PR14 - PR14 - Na sua opinião, como classifica a importância destas medidas para mitigar os riscos da IA e aumentar a confiança dos utilizadores? [Investimento em IA segura e inclusiva (desenvolver tecnologias de IA com foco em segurança e benefícios sociais)]",PR14
PR15 - Em quem confia mais para garantir que a IA seja desenvolvida e utilizada de forma benéfica e ética? ,PR15 - PR15 - Em quem confia mais para garantir que a IA seja desenvolvida e utilizada de forma benéfica e ética? ,PR15
DEM1 - Onde se situa a sua idade?,DEM1 - DEM1 - Onde se situa a sua idade?,DEM1
Género:,META_78 - Género:,META_78
DEM2 - Região de Residência:,DEM2 - DEM2 - Região de Residência:,DEM2
DEM3 - Nivel de Habilitações literárias (educação) mais alto que possui:,DEM3 - DEM3 - Nivel de Habilitações literárias (educação) mais alto que possui:,DEM3
